Fold,Model,acc,b_acc,sensitivity,specificity,ppv,fpr,tpr,auc,precision,recall,a_precision
0,rf,0.7678571428571429,0.7371541501976284,0.9090909090909091,0.5652173913043478,0.75,"[0.         0.         0.         0.04347826 0.04347826 0.04347826
 0.08695652 0.08695652 0.17391304 0.17391304 0.2173913  0.2173913
 0.26086957 0.26086957 0.30434783 0.30434783 0.34782609 0.34782609
 0.43478261 0.60869565 0.60869565 0.65217391 0.65217391 0.86956522
 0.86956522 1.        ]","[0.         0.03030303 0.18181818 0.18181818 0.24242424 0.3030303
 0.3030303  0.48484848 0.48484848 0.60606061 0.60606061 0.72727273
 0.72727273 0.75757576 0.75757576 0.84848485 0.84848485 0.90909091
 0.90909091 0.90909091 0.93939394 0.93939394 0.96969697 0.96969697
 1.         1.        ]",0.8102766798418972,"[0.62264151 0.61538462 0.62745098 0.64       0.65306122 0.66666667
 0.68085106 0.67391304 0.68888889 0.68181818 0.69767442 0.71428571
 0.73170732 0.75       0.78947368 0.78378378 0.77777778 0.8
 0.79411765 0.78787879 0.78125    0.80645161 0.8        0.82758621
 0.82142857 0.81481481 0.80769231 0.8        0.83333333 0.82608696
 0.81818182 0.80952381 0.8        0.84210526 0.88888889 0.88235294
 0.875      0.86666667 0.85714286 0.84615385 0.83333333 0.90909091
 0.9        0.88888889 0.85714286 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.96969697 0.96969697
 0.96969697 0.93939394 0.93939394 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.87878788 0.84848485 0.84848485
 0.81818182 0.78787879 0.75757576 0.75757576 0.72727273 0.72727273
 0.6969697  0.66666667 0.63636364 0.60606061 0.60606061 0.57575758
 0.54545455 0.51515152 0.48484848 0.48484848 0.48484848 0.45454545
 0.42424242 0.39393939 0.36363636 0.33333333 0.3030303  0.3030303
 0.27272727 0.24242424 0.18181818 0.18181818 0.15151515 0.12121212
 0.09090909 0.06060606 0.03030303 0.        ]",0.8519942025235802
0,lr,0.75,0.7088274044795784,0.9393939393939394,0.4782608695652174,0.7209302325581395,"[0.         0.         0.         0.04347826 0.04347826 0.13043478
 0.13043478 0.17391304 0.17391304 0.2173913  0.2173913  0.26086957
 0.26086957 0.30434783 0.30434783 0.43478261 0.43478261 0.52173913
 0.52173913 0.56521739 0.56521739 0.69565217 0.69565217 1.        ]","[0.         0.03030303 0.15151515 0.15151515 0.51515152 0.51515152
 0.54545455 0.54545455 0.63636364 0.63636364 0.66666667 0.66666667
 0.6969697  0.6969697  0.78787879 0.78787879 0.90909091 0.90909091
 0.93939394 0.93939394 0.96969697 0.96969697 1.         1.        ]",0.8155467720685112,"[0.67346939 0.66666667 0.68085106 0.69565217 0.71111111 0.70454545
 0.72093023 0.71428571 0.73170732 0.75       0.74358974 0.73684211
 0.72972973 0.72222222 0.74285714 0.76470588 0.78787879 0.78125
 0.77419355 0.76666667 0.79310345 0.78571429 0.81481481 0.80769231
 0.84       0.83333333 0.82608696 0.81818182 0.85714286 0.85
 0.89473684 0.94444444 0.94117647 0.9375     0.93333333 0.92857143
 0.92307692 0.91666667 0.90909091 0.9        0.88888889 0.875
 0.85714286 0.83333333 1.         1.         1.         1.
 1.         1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.96969697 0.93939394
 0.93939394 0.90909091 0.90909091 0.90909091 0.87878788 0.84848485
 0.81818182 0.78787879 0.78787879 0.78787879 0.78787879 0.75757576
 0.72727273 0.6969697  0.6969697  0.66666667 0.66666667 0.63636364
 0.63636364 0.60606061 0.57575758 0.54545455 0.54545455 0.51515152
 0.51515152 0.51515152 0.48484848 0.45454545 0.42424242 0.39393939
 0.36363636 0.33333333 0.3030303  0.27272727 0.24242424 0.21212121
 0.18181818 0.15151515 0.15151515 0.12121212 0.09090909 0.06060606
 0.03030303 0.        ]",0.8584353932777321
0,rf,0.7142857142857143,0.6851119894598156,0.8484848484848485,0.5217391304347826,0.717948717948718,"[0.         0.         0.         0.04347826 0.04347826 0.04347826
 0.04347826 0.13043478 0.13043478 0.17391304 0.17391304 0.2173913
 0.2173913  0.26086957 0.26086957 0.43478261 0.43478261 0.52173913
 0.60869565 0.60869565 0.60869565 0.69565217 0.73913043 0.82608696
 0.82608696 1.        ]","[0.         0.03030303 0.21212121 0.33333333 0.39393939 0.42424242
 0.48484848 0.48484848 0.57575758 0.57575758 0.63636364 0.63636364
 0.75757576 0.75757576 0.78787879 0.78787879 0.84848485 0.84848485
 0.84848485 0.87878788 0.93939394 0.93939394 0.96969697 0.96969697
 1.         1.        ]",0.80566534914361,"[0.63461538 0.62745098 0.65306122 0.65957447 0.67391304 0.68888889
 0.6744186  0.66666667 0.7        0.71794872 0.73684211 0.72222222
 0.74285714 0.76470588 0.78787879 0.8125     0.80645161 0.83333333
 0.82758621 0.82142857 0.81481481 0.80769231 0.84       0.83333333
 0.82608696 0.86363636 0.85714286 0.85       0.84210526 0.94117647
 0.93333333 0.92857143 0.91666667 1.         1.         1.
 1.         1.        ]","[1.         0.96969697 0.96969697 0.93939394 0.93939394 0.93939394
 0.87878788 0.84848485 0.84848485 0.84848485 0.84848485 0.78787879
 0.78787879 0.78787879 0.78787879 0.78787879 0.75757576 0.75757576
 0.72727273 0.6969697  0.66666667 0.63636364 0.63636364 0.60606061
 0.57575758 0.57575758 0.54545455 0.51515152 0.48484848 0.48484848
 0.42424242 0.39393939 0.33333333 0.21212121 0.15151515 0.09090909
 0.03030303 0.        ]",0.8638432873019875
0,lr,0.7142857142857143,0.6785243741765481,0.8787878787878788,0.4782608695652174,0.7073170731707317,"[0.         0.         0.         0.04347826 0.04347826 0.13043478
 0.13043478 0.17391304 0.17391304 0.30434783 0.30434783 0.43478261
 0.43478261 0.60869565 0.60869565 0.69565217 0.69565217 0.73913043
 0.73913043 1.        ]","[0.         0.03030303 0.27272727 0.27272727 0.51515152 0.51515152
 0.72727273 0.72727273 0.78787879 0.78787879 0.84848485 0.84848485
 0.87878788 0.87878788 0.90909091 0.90909091 0.96969697 0.96969697
 1.         1.        ]",0.8366271409749672,"[0.66       0.65306122 0.66666667 0.65957447 0.65217391 0.66666667
 0.68181818 0.6744186  0.69047619 0.70731707 0.725      0.74358974
 0.73684211 0.75675676 0.77777778 0.8        0.79411765 0.78787879
 0.8125     0.83870968 0.86666667 0.86206897 0.85714286 0.88888889
 0.88461538 0.88       0.875      0.86956522 0.86363636 0.85714286
 0.85       0.89473684 0.94444444 0.94117647 0.9375     0.93333333
 0.92857143 0.92307692 0.91666667 0.90909091 0.9        1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]","[1.         0.96969697 0.96969697 0.93939394 0.90909091 0.90909091
 0.90909091 0.87878788 0.87878788 0.87878788 0.87878788 0.87878788
 0.84848485 0.84848485 0.84848485 0.84848485 0.81818182 0.78787879
 0.78787879 0.78787879 0.78787879 0.75757576 0.72727273 0.72727273
 0.6969697  0.66666667 0.63636364 0.60606061 0.57575758 0.54545455
 0.51515152 0.51515152 0.51515152 0.48484848 0.45454545 0.42424242
 0.39393939 0.36363636 0.33333333 0.3030303  0.27272727 0.27272727
 0.24242424 0.21212121 0.18181818 0.15151515 0.12121212 0.09090909
 0.06060606 0.03030303 0.        ]",0.8874912492984597
0,rf,0.7321428571428571,0.6936758893280632,0.9090909090909091,0.4782608695652174,0.7142857142857143,"[0.         0.         0.         0.         0.08695652 0.08695652
 0.13043478 0.13043478 0.13043478 0.13043478 0.13043478 0.13043478
 0.13043478 0.13043478 0.17391304 0.17391304 0.2173913  0.2173913
 0.26086957 0.26086957 0.34782609 0.34782609 0.39130435 0.52173913
 0.52173913 0.73913043 0.73913043 0.82608696 0.82608696 1.        ]","[0.         0.03030303 0.09090909 0.15151515 0.15151515 0.21212121
 0.21212121 0.36363636 0.42424242 0.45454545 0.51515152 0.54545455
 0.60606061 0.63636364 0.63636364 0.6969697  0.6969697  0.78787879
 0.78787879 0.81818182 0.81818182 0.84848485 0.87878788 0.87878788
 0.93939394 0.93939394 0.96969697 0.96969697 1.         1.        ]",0.8003952569169961,"[0.63461538 0.62745098 0.64       0.65306122 0.64583333 0.65957447
 0.67391304 0.68888889 0.70454545 0.72093023 0.71428571 0.70731707
 0.725      0.74358974 0.76315789 0.77777778 0.77142857 0.79411765
 0.81818182 0.8125     0.83870968 0.83333333 0.82758621 0.82142857
 0.85185185 0.84615385 0.84       0.875      0.86956522 0.85714286
 0.85       0.83333333 0.82352941 0.8        0.78571429 0.76923077
 0.75       0.72727273 0.7        0.77777778 0.75       0.71428571
 0.83333333 1.         1.         1.         1.         1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.93939394 0.93939394
 0.93939394 0.93939394 0.93939394 0.93939394 0.90909091 0.87878788
 0.87878788 0.87878788 0.87878788 0.84848485 0.81818182 0.81818182
 0.81818182 0.78787879 0.78787879 0.75757576 0.72727273 0.6969697
 0.6969697  0.66666667 0.63636364 0.63636364 0.60606061 0.54545455
 0.51515152 0.45454545 0.42424242 0.36363636 0.33333333 0.3030303
 0.27272727 0.24242424 0.21212121 0.21212121 0.18181818 0.15151515
 0.15151515 0.15151515 0.12121212 0.09090909 0.03030303 0.        ]",0.8270092718510356
0,lr,0.6964285714285714,0.663372859025033,0.8484848484848485,0.4782608695652174,0.7,"[0.         0.         0.         0.04347826 0.04347826 0.08695652
 0.08695652 0.13043478 0.13043478 0.17391304 0.17391304 0.2173913
 0.2173913  0.26086957 0.26086957 0.34782609 0.34782609 0.43478261
 0.43478261 0.52173913 0.52173913 0.65217391 0.65217391 0.69565217
 0.69565217 0.7826087  0.7826087  1.        ]","[0.         0.03030303 0.3030303  0.3030303  0.45454545 0.45454545
 0.51515152 0.51515152 0.57575758 0.57575758 0.60606061 0.60606061
 0.6969697  0.6969697  0.75757576 0.75757576 0.78787879 0.78787879
 0.84848485 0.84848485 0.90909091 0.90909091 0.93939394 0.93939394
 0.96969697 0.96969697 1.         1.        ]",0.8063241106719368,"[0.64705882 0.64       0.65306122 0.66666667 0.65957447 0.67391304
 0.66666667 0.68181818 0.69767442 0.71428571 0.70731707 0.7
 0.71794872 0.73684211 0.72972973 0.72222222 0.74285714 0.76470588
 0.75757576 0.78125    0.80645161 0.8        0.79310345 0.82142857
 0.81481481 0.80769231 0.8        0.83333333 0.82608696 0.86363636
 0.85714286 0.85       0.89473684 0.88888889 0.88235294 0.9375
 0.93333333 0.92857143 0.92307692 0.91666667 0.90909091 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.93939394 0.93939394
 0.90909091 0.90909091 0.90909091 0.90909091 0.87878788 0.84848485
 0.84848485 0.84848485 0.81818182 0.78787879 0.78787879 0.78787879
 0.75757576 0.75757576 0.75757576 0.72727273 0.6969697  0.6969697
 0.66666667 0.63636364 0.60606061 0.60606061 0.57575758 0.57575758
 0.54545455 0.51515152 0.51515152 0.48484848 0.45454545 0.45454545
 0.42424242 0.39393939 0.36363636 0.33333333 0.3030303  0.3030303
 0.27272727 0.24242424 0.21212121 0.18181818 0.15151515 0.12121212
 0.09090909 0.06060606 0.03030303 0.        ]",0.8687209994566845
0,rf,0.7321428571428571,0.7002635046113307,0.8787878787878788,0.5217391304347826,0.725,"[0.         0.         0.08695652 0.08695652 0.17391304 0.17391304
 0.17391304 0.17391304 0.2173913  0.2173913  0.26086957 0.26086957
 0.34782609 0.34782609 0.47826087 0.47826087 0.52173913 0.52173913
 0.82608696 0.82608696 0.95652174 0.95652174 1.        ]","[0.         0.03030303 0.03030303 0.33333333 0.33333333 0.39393939
 0.45454545 0.54545455 0.54545455 0.60606061 0.60606061 0.63636364
 0.63636364 0.81818182 0.81818182 0.90909091 0.90909091 0.93939394
 0.93939394 0.96969697 0.96969697 1.         1.        ]",0.7391304347826088,"[0.6        0.59259259 0.60377358 0.61538462 0.62745098 0.62
 0.63265306 0.64583333 0.65957447 0.67391304 0.68888889 0.70454545
 0.72093023 0.71428571 0.73170732 0.725      0.71794872 0.71052632
 0.72972973 0.75       0.77142857 0.76470588 0.75757576 0.75
 0.74193548 0.73333333 0.72413793 0.75       0.77777778 0.76923077
 0.8        0.79166667 0.7826087  0.81818182 0.80952381 0.8
 0.78947368 0.76470588 0.75       0.73333333 0.78571429 0.84615385
 0.83333333 0.81818182 0.8        0.77777778 0.75       0.71428571
 0.66666667 0.6        0.5        0.33333333 0.5        1.
 1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.96969697 0.93939394
 0.93939394 0.93939394 0.93939394 0.93939394 0.93939394 0.93939394
 0.93939394 0.90909091 0.90909091 0.87878788 0.84848485 0.81818182
 0.81818182 0.81818182 0.81818182 0.78787879 0.75757576 0.72727273
 0.6969697  0.66666667 0.63636364 0.63636364 0.63636364 0.60606061
 0.60606061 0.57575758 0.54545455 0.54545455 0.51515152 0.48484848
 0.45454545 0.39393939 0.36363636 0.33333333 0.33333333 0.33333333
 0.3030303  0.27272727 0.24242424 0.21212121 0.18181818 0.15151515
 0.12121212 0.09090909 0.06060606 0.03030303 0.03030303 0.03030303
 0.        ]",0.7527035986623326
0,lr,0.6964285714285714,0.663372859025033,0.8484848484848485,0.4782608695652174,0.7,"[0.         0.         0.         0.04347826 0.04347826 0.08695652
 0.08695652 0.13043478 0.13043478 0.17391304 0.17391304 0.2173913
 0.2173913  0.34782609 0.34782609 0.47826087 0.47826087 0.52173913
 0.52173913 0.60869565 0.60869565 0.69565217 0.69565217 0.82608696
 0.82608696 1.        ]","[0.         0.03030303 0.21212121 0.21212121 0.24242424 0.24242424
 0.39393939 0.39393939 0.6969697  0.6969697  0.72727273 0.72727273
 0.75757576 0.75757576 0.78787879 0.78787879 0.81818182 0.81818182
 0.90909091 0.90909091 0.93939394 0.93939394 0.96969697 0.96969697
 1.         1.        ]",0.7971014492753624,"[0.63461538 0.62745098 0.64       0.65306122 0.66666667 0.65957447
 0.67391304 0.68888889 0.68181818 0.69767442 0.71428571 0.70731707
 0.7        0.69230769 0.71052632 0.7027027  0.72222222 0.74285714
 0.76470588 0.75757576 0.78125    0.80645161 0.83333333 0.82758621
 0.85714286 0.85185185 0.88461538 0.88       0.875      0.86956522
 0.86363636 0.85714286 0.85       0.84210526 0.83333333 0.82352941
 0.8125     0.86666667 0.85714286 0.84615385 0.83333333 0.81818182
 0.8        0.88888889 0.875      1.         1.         1.
 1.         1.         1.         1.         1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.96969697 0.93939394
 0.93939394 0.93939394 0.90909091 0.90909091 0.90909091 0.87878788
 0.84848485 0.81818182 0.81818182 0.78787879 0.78787879 0.78787879
 0.78787879 0.75757576 0.75757576 0.75757576 0.75757576 0.72727273
 0.72727273 0.6969697  0.6969697  0.66666667 0.63636364 0.60606061
 0.57575758 0.54545455 0.51515152 0.48484848 0.45454545 0.42424242
 0.39393939 0.39393939 0.36363636 0.33333333 0.3030303  0.27272727
 0.24242424 0.24242424 0.21212121 0.21212121 0.18181818 0.15151515
 0.12121212 0.09090909 0.06060606 0.03030303 0.        ]",0.8474781017471285
0,rf,0.7142857142857143,0.691699604743083,0.8181818181818182,0.5652173913043478,0.7297297297297297,"[0.         0.         0.04347826 0.04347826 0.08695652 0.08695652
 0.08695652 0.08695652 0.08695652 0.08695652 0.08695652 0.17391304
 0.17391304 0.2173913  0.2173913  0.26086957 0.26086957 0.30434783
 0.39130435 0.39130435 0.43478261 0.43478261 0.47826087 0.47826087
 0.52173913 0.52173913 0.56521739 0.56521739 0.60869565 0.60869565
 0.91304348 0.91304348 1.        ]","[0.         0.03030303 0.03030303 0.06060606 0.06060606 0.12121212
 0.18181818 0.27272727 0.33333333 0.48484848 0.54545455 0.54545455
 0.57575758 0.57575758 0.66666667 0.66666667 0.6969697  0.6969697
 0.6969697  0.72727273 0.72727273 0.81818182 0.81818182 0.84848485
 0.84848485 0.87878788 0.87878788 0.90909091 0.90909091 0.96969697
 0.96969697 1.         1.        ]",0.7602108036890646,"[0.61111111 0.60377358 0.61538462 0.62745098 0.64       0.65306122
 0.66666667 0.68085106 0.69565217 0.68888889 0.68181818 0.69767442
 0.69047619 0.70731707 0.7        0.71794872 0.71052632 0.72972973
 0.72222222 0.71428571 0.70588235 0.72727273 0.71875    0.76666667
 0.79310345 0.78571429 0.81481481 0.79166667 0.82608696 0.81818182
 0.85714286 0.9        0.88888889 0.88235294 0.875      0.86666667
 0.85714286 0.84615385 0.81818182 0.8        0.77777778 0.75
 0.66666667 0.6        0.5        0.66666667 0.5        1.
 1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.96969697 0.96969697
 0.96969697 0.96969697 0.96969697 0.93939394 0.90909091 0.90909091
 0.87878788 0.87878788 0.84848485 0.84848485 0.81818182 0.81818182
 0.78787879 0.75757576 0.72727273 0.72727273 0.6969697  0.6969697
 0.6969697  0.66666667 0.66666667 0.57575758 0.57575758 0.54545455
 0.54545455 0.54545455 0.48484848 0.45454545 0.42424242 0.39393939
 0.36363636 0.33333333 0.27272727 0.24242424 0.21212121 0.18181818
 0.12121212 0.09090909 0.06060606 0.06060606 0.03030303 0.03030303
 0.        ]",0.7808299879353057
0,lr,0.6785714285714286,0.6416337285902504,0.8484848484848485,0.43478260869565216,0.6829268292682927,"[0.         0.         0.         0.04347826 0.04347826 0.08695652
 0.08695652 0.17391304 0.17391304 0.2173913  0.2173913  0.26086957
 0.26086957 0.56521739 0.56521739 0.69565217 0.69565217 0.7826087
 0.7826087  1.        ]","[0.         0.03030303 0.24242424 0.24242424 0.57575758 0.57575758
 0.60606061 0.60606061 0.63636364 0.63636364 0.72727273 0.72727273
 0.84848485 0.84848485 0.90909091 0.90909091 0.96969697 0.96969697
 1.         1.        ]",0.8260869565217391,"[0.64705882 0.64       0.65306122 0.66666667 0.65957447 0.65217391
 0.66666667 0.68181818 0.69767442 0.69047619 0.68292683 0.7
 0.71794872 0.73684211 0.75675676 0.77777778 0.8        0.82352941
 0.81818182 0.8125     0.80645161 0.8        0.82758621 0.82142857
 0.81481481 0.80769231 0.84       0.83333333 0.86956522 0.90909091
 0.9047619  0.95       0.94736842 0.94444444 0.94117647 0.9375
 0.93333333 0.92857143 0.92307692 0.91666667 0.90909091 0.9
 0.88888889 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.96969697 0.96969697 0.96969697 0.93939394 0.90909091
 0.90909091 0.90909091 0.90909091 0.87878788 0.84848485 0.84848485
 0.84848485 0.84848485 0.84848485 0.84848485 0.84848485 0.84848485
 0.81818182 0.78787879 0.75757576 0.72727273 0.72727273 0.6969697
 0.66666667 0.63636364 0.63636364 0.60606061 0.60606061 0.60606061
 0.57575758 0.57575758 0.54545455 0.51515152 0.48484848 0.45454545
 0.42424242 0.39393939 0.36363636 0.33333333 0.3030303  0.27272727
 0.24242424 0.24242424 0.21212121 0.18181818 0.15151515 0.12121212
 0.09090909 0.06060606 0.03030303 0.        ]",0.8807958336141574
